#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000001.1	864545	865318	+	vasF	1-774/774	===============	0/0	100.00	99.22	vfdb	NP_232516	(vasF) type VI secretion system protein VasF [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000001.1	865344	867953	+	clpB/vasG	1-2610/2610	===============	0/0	100.00	99.73	vfdb	NP_232517	(clpB/vasG) type VI secretion system AAA+ family ATPase [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000001.1	867956	869548	+	vasH	1-1593/1593	===============	0/0	100.00	99.37	vfdb	NP_232518	(vasH) type VI secretion system regulatory protein VasH [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000001.1	869518	870201	+	vasI	1-684/684	===============	0/0	100.00	99.12	vfdb	NP_232519	(vasI) type VI secretion system protein VasI [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000001.1	870211	871620	+	vasJ	1-1410/1410	===============	0/0	100.00	99.15	vfdb	NP_232520	(vasJ) type VI secretion system protein VasJ [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000001.1	871636	875181	+	icmF/vasK	1-3546/3546	===============	0/0	100.00	98.56	vfdb	NP_232521	(icmF/vasK) type VI secretion system inner membrane protein VasK [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000001.1	875229	876494	+	vasL	1-1266/1266	===============	0/0	100.00	98.97	vfdb	NP_232522	(vasL) type VI secretion system protein VasL [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000001.1	876545	876772	+	VCA0122	1-243/243	========/======	2/15	93.83	93.42	vfdb	NP_232523	(VCA0122) type VI secretion system regulatory protein [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000001.1	978737	980962	+	hlyA	1-2226/2226	===============	0/0	100.00	98.07	vfdb	NP_232618	(hlyA) Vibrio cholerae cytolysin VCC [VCC (VF0516)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000003.1	539662	540180	+	hcp-2	1-519/519	===============	0/0	100.00	97.69	vfdb	NP_232418	(hcp-2) type VI secretion system substrate Hcp-2 [VAS (SS181)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000003.1	540308	542225	+	vgrG-2	1-1918/2085	========/=====.	11/16	91.61	91.43	vfdb	NP_232419	(vgrG-2) type VI secretion system substrate VgrG-2 [VAS (SS181)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000004.1	29374	30777	-	rtxD	1-1404/1404	===============	0/0	100.00	99.36	vfdb	NP_231090	(rtxD) RTX toxin transporter RtxD [RTX toxin (CVF263)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000004.1	30732	32894	-	rtxB	1-2163/2163	===============	0/0	100.00	99.17	vfdb	NP_231091	(rtxB) RTX toxin transporter RtxB [RTX toxin (CVF263)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000004.1	33637	34098	+	rtxC	1-462/462	===============	0/0	100.00	100.00	vfdb	NP_231093	(rtxC) RTX toxin activating protein RtxC [RTX toxin (CVF263)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000004.1	34083	47759	+	rtxA	1-13677/13677	===============	0/0	100.00	97.68	vfdb	NP_231094	(rtxA) RTX toxin RtxA [MARTX (VF0265)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032027525.1_ASM3202752v1_genomic.fna.gz	JAVSIZ010000006.1	68725	69243	+	luxS	1-519/519	===============	0/0	100.00	99.23	vfdb	NP_230208	(luxS) S-ribosylhomocysteinase [AI-2 (VF0406)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
GCA_032819455.1_ASM3281945v1_genomic.fna.gz	JAUPCX010000004.1	94962	95468	+	vipA/mglA	1-507/507	===============	0/0	100.00	99.61	vfdb	NP_232508	(vipA/mglA) type VI secretion system tubule-forming protein VipA [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819455.1_ASM3281945v1_genomic.fna.gz	JAUPCX010000004.1	95509	96987	+	vipB/mglB	1-1479/1479	===============	0/0	100.00	99.73	vfdb	NP_232509	(vipB/mglB) type VI secretion system tubule-forming protein VipB [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819455.1_ASM3281945v1_genomic.fna.gz	JAUPCX010000004.1	96990	97427	+	VCA0109	1-438/438	===============	0/0	100.00	100.00	vfdb	NP_232510	(VCA0109) type VI secretion system protein [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819455.1_ASM3281945v1_genomic.fna.gz	JAUPCX010000004.1	97433	99202	+	vasA	1-1770/1770	===============	0/0	100.00	99.49	vfdb	NP_232511	(vasA) type VI secretion system protein VasA [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819455.1_ASM3281945v1_genomic.fna.gz	JAUPCX010000004.1	99166	100182	+	vasB	1-1017/1017	===============	0/0	100.00	98.92	vfdb	NP_232512	(vasB) type VI secretion system protein VasB [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819455.1_ASM3281945v1_genomic.fna.gz	JAUPCX010000004.1	100185	101672	+	vasC	1-1488/1488	===============	0/0	100.00	98.99	vfdb	NP_232513	(vasC) type VI secretion system protein VasC [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819455.1_ASM3281945v1_genomic.fna.gz	JAUPCX010000004.1	101675	102151	+	vasD	1-477/477	===============	0/0	100.00	99.37	vfdb	NP_232514	(vasD) type VI secretion system protein VasD [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819455.1_ASM3281945v1_genomic.fna.gz	JAUPCX010000004.1	102158	103492	+	vasE	1-1335/1335	===============	0/0	100.00	98.88	vfdb	NP_232515	(vasE) type VI secretion system protein VasE [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819455.1_ASM3281945v1_genomic.fna.gz	JAUPCX010000004.1	103495	104268	+	vasF	1-774/774	===============	0/0	100.00	98.45	vfdb	NP_232516	(vasF) type VI secretion system protein VasF [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819455.1_ASM3281945v1_genomic.fna.gz	JAUPCX010000004.1	104294	106903	+	clpB/vasG	1-2610/2610	===============	0/0	100.00	99.42	vfdb	NP_232517	(clpB/vasG) type VI secretion system AAA+ family ATPase [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819455.1_ASM3281945v1_genomic.fna.gz	JAUPCX010000004.1	106906	108498	+	vasH	1-1593/1593	===============	0/0	100.00	99.25	vfdb	NP_232518	(vasH) type VI secretion system regulatory protein VasH [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819455.1_ASM3281945v1_genomic.fna.gz	JAUPCX010000004.1	108468	109151	+	vasI	1-684/684	===============	0/0	100.00	98.54	vfdb	NP_232519	(vasI) type VI secretion system protein VasI [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819455.1_ASM3281945v1_genomic.fna.gz	JAUPCX010000004.1	109161	110570	+	vasJ	1-1410/1410	===============	0/0	100.00	99.29	vfdb	NP_232520	(vasJ) type VI secretion system protein VasJ [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819455.1_ASM3281945v1_genomic.fna.gz	JAUPCX010000004.1	110586	114131	+	icmF/vasK	1-3546/3546	===============	0/0	100.00	98.48	vfdb	NP_232521	(icmF/vasK) type VI secretion system inner membrane protein VasK [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819455.1_ASM3281945v1_genomic.fna.gz	JAUPCX010000004.1	114179	115444	+	vasL	1-1266/1266	===============	0/0	100.00	98.66	vfdb	NP_232522	(vasL) type VI secretion system protein VasL [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819455.1_ASM3281945v1_genomic.fna.gz	JAUPCX010000004.1	115495	115722	+	VCA0122	1-243/243	========/======	2/15	93.83	93.83	vfdb	NP_232523	(VCA0122) type VI secretion system regulatory protein [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819455.1_ASM3281945v1_genomic.fna.gz	JAUPCX010000004.1	212535	214760	+	hlyA	1-2226/2226	===============	0/0	100.00	98.34	vfdb	NP_232618	(hlyA) Vibrio cholerae cytolysin VCC [VCC (VF0516)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819455.1_ASM3281945v1_genomic.fna.gz	JAUPCX010000008.1	9962	10480	+	luxS	1-519/519	===============	0/0	100.00	98.65	vfdb	NP_230208	(luxS) S-ribosylhomocysteinase [AI-2 (VF0406)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819455.1_ASM3281945v1_genomic.fna.gz	JAUPCX010000013.1	22295	23464	-	cqsA	1-1170/1170	===============	0/0	100.00	99.23	vfdb	NP_232914	(cqsA) CAI-1 autoinducer synthase [CAI-1 (VF0405)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819455.1_ASM3281945v1_genomic.fna.gz	JAUPCX010000014.1	34624	36027	-	rtxD	1-1404/1404	===============	0/0	100.00	98.65	vfdb	NP_231090	(rtxD) RTX toxin transporter RtxD [RTX toxin (CVF263)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819455.1_ASM3281945v1_genomic.fna.gz	JAUPCX010000014.1	35982	38144	-	rtxB	1-2163/2163	===============	0/0	100.00	98.57	vfdb	NP_231091	(rtxB) RTX toxin transporter RtxB [RTX toxin (CVF263)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819455.1_ASM3281945v1_genomic.fna.gz	JAUPCX010000014.1	38886	39347	+	rtxC	1-462/462	===============	0/0	100.00	100.00	vfdb	NP_231093	(rtxC) RTX toxin activating protein RtxC [RTX toxin (CVF263)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819455.1_ASM3281945v1_genomic.fna.gz	JAUPCX010000014.1	39332	53002	+	rtxA	1-13677/13677	========/======	1/6	99.96	98.02	vfdb	NP_231094	(rtxA) RTX toxin RtxA [MARTX (VF0265)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819455.1_ASM3281945v1_genomic.fna.gz	JAUPCX010000051.1	129	647	+	hcp-2	1-519/519	===============	0/0	100.00	97.50	vfdb	NP_232418	(hcp-2) type VI secretion system substrate Hcp-2 [VAS (SS181)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000001.1	125225	138901	-	rtxA	1-13677/13677	===============	0/0	100.00	97.78	vfdb	NP_231094	(rtxA) RTX toxin RtxA [MARTX (VF0265)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000001.1	138886	139347	-	rtxC	1-462/462	===============	0/0	100.00	99.13	vfdb	NP_231093	(rtxC) RTX toxin activating protein RtxC [RTX toxin (CVF263)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000001.1	140089	142251	+	rtxB	1-2163/2163	===============	0/0	100.00	98.66	vfdb	NP_231091	(rtxB) RTX toxin transporter RtxB [RTX toxin (CVF263)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000001.1	142206	143609	+	rtxD	1-1404/1404	===============	0/0	100.00	98.65	vfdb	NP_231090	(rtxD) RTX toxin transporter RtxD [RTX toxin (CVF263)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000001.1	174616	176540	-	vgrG-2	1-1925/2085	========/=====.	7/12	92.04	89.75	vfdb	NP_232419	(vgrG-2) type VI secretion system substrate VgrG-2 [VAS (SS181)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000001.1	176668	177186	-	hcp-2	1-519/519	===============	0/0	100.00	96.53	vfdb	NP_232418	(hcp-2) type VI secretion system substrate Hcp-2 [VAS (SS181)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000001.1	773926	778488	-	acfD	1-4563/4563	===============	0/0	100.00	98.69	vfdb	NP_230493	(acfD) accessory colonization factor AcfD [ACF (VF0127)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000001.1	778661	779308	+	acfA	1-648/648	===============	0/0	100.00	99.54	vfdb	NP_230492	(acfA) accessory colonization factor AcfA [ACF (VF0127)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000001.1	780718	781488	-	acfC	1-771/771	===============	0/0	100.00	98.44	vfdb	NP_230489	(acfC) accessory colonization factor AcfC [ACF (VF0127)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000001.1	781494	783374	-	acfB	1-1881/1881	===============	0/0	100.00	97.71	vfdb	NP_230488	(acfB) accessory colonization factor AcfB [ACF (VF0127)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000001.1	783381	784142	-	tcpJ	1-762/762	===============	0/0	100.00	97.51	vfdb	NP_230487	(tcpJ) leader peptidase TcpJ [TCP (VF0126)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000001.1	784142	784972	-	tcpN/toxT	1-831/831	===============	0/0	100.00	99.52	vfdb	NP_230486	(tcpN/toxT) TCP pilus virulence regulatory protein [TCP (VF0126)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000001.1	785179	786195	-	tcpF	1-1017/1017	===============	0/0	100.00	99.90	vfdb	NP_230485	(tcpF) toxin co-regulated pilus biosynthesis protein F [TCP (VF0126)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000001.1	786205	787227	-	tcpE	1-1023/1023	===============	0/0	100.00	99.61	vfdb	NP_230484	(tcpE) toxin co-regulated pilus biosynthesis protein E [TCP (VF0126)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000001.1	787202	788713	-	tcpT	1-1512/1512	===============	0/0	100.00	97.09	vfdb	NP_230483	(tcpT) toxin co-regulated pilus biosynthesis protein T [TCP (VF0126)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000001.1	788703	789161	-	tcpS	1-459/459	===============	0/0	100.00	98.69	vfdb	NP_230482	(tcpS) toxin co-regulated pilus biosynthesis protein S [TCP (VF0126)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000001.1	789177	790013	-	tcpD	1-837/837	===============	0/0	100.00	96.06	vfdb	NP_230481	(tcpD) toxin co-regulated pilus biosynthesis protein D [TCP (VF0126)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000001.1	790001	790456	-	tcpR	1-456/456	===============	0/0	100.00	98.47	vfdb	NP_230480	(tcpR) toxin co-regulated pilus biosynthesis protein R [TCP (VF0126)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000001.1	790449	791918	-	tcpC	1-1470/1470	===============	0/0	100.00	98.57	vfdb	NP_230479	(tcpC) toxin co-regulated pilus biosynthesis outer membrane protein C [TCP (VF0126)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000001.1	791921	792373	-	tcpQ	1-453/453	===============	0/0	100.00	99.34	vfdb	NP_230478	(tcpQ) toxin co-regulated pilus biosynthesis protein Q [TCP (VF0126)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000001.1	792373	793665	-	tcpB	1-1293/1293	===============	0/0	100.00	98.45	vfdb	NP_230477	(tcpB) toxin co-regulated pilus biosynthesis protein B [TCP (VF0126)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000001.1	794961	795371	-	tcpH	1-411/411	===============	0/0	100.00	98.78	vfdb	NP_230475	(tcpH) toxin co-regulated pilus biosynthesis protein H [TCP (VF0126)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000001.1	795356	796021	-	tcpP	1-666/666	===============	0/0	100.00	98.65	vfdb	NP_230474	(tcpP) toxin co-regulated pilus biosynthesis protein P [TCP (VF0126)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000001.1	796461	798322	+	tcpI	1-1862/1863	===============	0/0	99.95	98.87	vfdb	NP_230473	(tcpI) toxin co-regulated pilus biosynthesis protein I [TCP (VF0126)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000002.1	107653	107895	-	VCA0122	1-243/243	===============	0/0	100.00	99.18	vfdb	NP_232523	(VCA0122) type VI secretion system regulatory protein [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000002.1	107946	109211	-	vasL	1-1266/1266	===============	0/0	100.00	99.05	vfdb	NP_232522	(vasL) type VI secretion system protein VasL [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000002.1	109259	112804	-	icmF/vasK	1-3546/3546	===============	0/0	100.00	98.98	vfdb	NP_232521	(icmF/vasK) type VI secretion system inner membrane protein VasK [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000002.1	112820	114229	-	vasJ	1-1410/1410	===============	0/0	100.00	99.29	vfdb	NP_232520	(vasJ) type VI secretion system protein VasJ [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000002.1	114239	114922	-	vasI	1-684/684	===============	0/0	100.00	98.98	vfdb	NP_232519	(vasI) type VI secretion system protein VasI [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000002.1	114892	116484	-	vasH	1-1593/1593	===============	0/0	100.00	98.75	vfdb	NP_232518	(vasH) type VI secretion system regulatory protein VasH [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000002.1	116487	119096	-	clpB/vasG	1-2610/2610	===============	0/0	100.00	99.50	vfdb	NP_232517	(clpB/vasG) type VI secretion system AAA+ family ATPase [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000002.1	119122	119895	-	vasF	1-774/774	===============	0/0	100.00	99.35	vfdb	NP_232516	(vasF) type VI secretion system protein VasF [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000002.1	119898	121232	-	vasE	1-1335/1335	===============	0/0	100.00	98.88	vfdb	NP_232515	(vasE) type VI secretion system protein VasE [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000002.1	121239	121715	-	vasD	1-477/477	===============	0/0	100.00	99.58	vfdb	NP_232514	(vasD) type VI secretion system protein VasD [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000002.1	121718	123202	-	vasC	1-1488/1488	========/======	1/3	99.80	99.13	vfdb	NP_232513	(vasC) type VI secretion system protein VasC [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000002.1	123205	124221	-	vasB	1-1017/1017	===============	0/0	100.00	99.31	vfdb	NP_232512	(vasB) type VI secretion system protein VasB [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000002.1	124185	125954	-	vasA	1-1770/1770	===============	0/0	100.00	99.55	vfdb	NP_232511	(vasA) type VI secretion system protein VasA [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000002.1	125960	126397	-	VCA0109	1-438/438	===============	0/0	100.00	99.77	vfdb	NP_232510	(VCA0109) type VI secretion system protein [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000002.1	126400	127878	-	vipB/mglB	1-1479/1479	===============	0/0	100.00	99.39	vfdb	NP_232509	(vipB/mglB) type VI secretion system tubule-forming protein VipB [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
GCA_032819635.1_ASM3281963v1_genomic.fna.gz	JAUPDB010000002.1	127919	128425	-	vipA/mglA	1-507/507	===============	0/0	100.00	99.80	vfdb	NP_232508	(vipA/mglA) type VI secretion system tubule-forming protein VipA [T6SS (VF0335)] [Vibrio cholerae O1 biovar El Tor str. N16961]	
